company,ticker,rank,total_score,valuation_score,reverse_dcf_score,normalization_confidence,confidence_reasons,size_bucket,discount_rate,reinvestment_roic,net_reinvestment_rate,ebit_margin_3y,ebit_margin_5y,reported_fcf_margin_3y,reported_fcf_margin_5y,operating_cash_flow_margin_3y,operating_cash_flow_margin_5y,negative_fcf_years,fcf_margin_stddev,material_window_disagreement,material_aggregate_investing,revenue_growth_status,revenue_growth_implied,ebit_margin_status,ebit_margin_implied,terminal_growth_status,terminal_growth_implied
RaySearch Laboratories,RAY B,20,63.8,40.7,0.4,low,three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.2186945915222168,0.07057538664774847,0.1876273363139984,0.13024856839199886,0.18917855607294107,0.15464538950841517,0.37323696286908215,0.3897086816516236,0,0.08232141865503158,True,True,outside_bounds,,solved,0.43088024482131004,outside_bounds,
Nelly Group,NELLY,22,62.3,65.1,0.7,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree,small,0.133,0.35354061126708985,0.0,0.0790943926053763,0.02858723418102536,0.07590604615789628,0.029172971477847736,0.09854623102348846,0.0472820162379395,2,0.061454484662021074,True,False,outside_bounds,,solved,0.1320575401186943,outside_bounds,
Cedergrenska,CEDER,24,60.8,60.5,7.6,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,0.1584632968902588,0.017576025519503706,0.021790396195043752,0.023503417299982118,0.04401467928802803,0.022951034924602074,0.0603698968607786,0.061337082289126904,2,0.03510392670035665,False,False,outside_bounds,,solved,0.051248518750071526,outside_bounds,
Veteranpoolen,VPAB B,25,60.1,32.7,7.7,medium,,small,0.133,8.265056762695313,0.001081701157789924,0.10267967505849752,0.10478530800970688,0.08758817746451343,0.08758392087515024,0.08844479961365767,0.08902311125400945,0,0.010719901155105694,False,False,solved,0.2575588405132294,solved,0.1814754568040371,outside_bounds,
Apotea,APOTEA,26,59.9,25.2,3.7,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,lower_mid,0.128,0.22799850463867188,0.014187823509404895,0.035174966387557946,0.029872209466711593,0.013263287945721746,0.010139183655038504,0.039208459434065104,0.03525615419617705,1,0.018028361704697144,False,False,outside_bounds,,solved,0.10103080607950687,outside_bounds,
BioGaia,BIOG B,27,58.9,32.3,0.9,medium,,lower_mid,0.128,0.5119401168823242,0.055594858304422415,0.3004040024428055,0.3081671268223875,0.24366984544557715,0.23315984622067623,0.25972659369568285,0.26789035007085366,0,0.06122405481420417,False,False,outside_bounds,,outside_bounds,,outside_bounds,
Synsam,SYNSAM,28,58.7,70.6,3.4,medium,,lower_mid,0.128,0.08818841934204101,0.09447958635508999,0.12061703963058812,0.11959441310770884,0.11990663216116101,0.11298012355627182,0.1699396153650987,0.1685132957292506,0,0.03683579069229344,False,False,outside_bounds,,solved,0.21752572804689407,outside_bounds,
Bonesupport,BONEX,29,58.2,16.7,0.0,low,reported FCF is non-positive in 3 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree,lower_mid,0.128,0.4128425979614258,0.023862977633544565,0.15453730010095815,0.08313631798588975,0.09402995717722473,0.03506665252730663,0.10086058390599255,0.04296701994273559,3,0.2022365910390656,True,False,outside_bounds,,outside_bounds,,outside_bounds,
TagMaster,TAGM B,32,57.5,64.1,1.3,low,reported FCF is non-positive in 4 observed year(s),micro,0.138,0.11652170181274414,0.020790391617149788,0.04266800051535063,0.02925537211479099,0.022576904713184638,0.007204309640929641,0.11046692282624347,0.08230936211737996,4,0.05847712070007107,False,False,outside_bounds,,solved,0.14793261140584946,outside_bounds,
Boozt,BOOZT,34,56.6,60.3,1.1,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,lower_mid,0.128,0.09852375030517578,0.025890050188034454,0.04755826402042329,0.04539779389412429,0.036605451700568226,0.016665219090632736,0.0581816684509594,0.06677215877013941,1,0.05385438992342661,False,False,outside_bounds,,solved,0.16985269077122211,outside_bounds,
Softronic,SOF B,35,56.4,37.0,14.2,medium,,small,0.133,0.3025040054321289,0.013673586261358235,0.11087567900758949,0.11231762736187516,0.08044072889779251,0.09330303755082517,0.09165157760912279,0.10279837359483378,0,0.03604348415149361,False,False,solved,0.15497353076934817,solved,0.16752193868160248,outside_bounds,
Cloetta,CLA B,36,56.1,43.0,0.8,medium,,lower_mid,0.128,0.10537420272827148,0.05371264240785955,0.10417076142930147,0.09597434426656933,0.0824717952749715,0.08006987537153883,0.10220527536459767,0.10369192261563331,0,0.02606967002517037,False,False,outside_bounds,,solved,0.2692824453115463,outside_bounds,
