company,ticker,old_rank,new_rank,rank_improvement,old_total_score,new_total_score,old_reverse_dcf_score,new_reverse_dcf_score,old_dcf_status,size_bucket,baseline_discount_rate,current_ebit_margin,normalized_ebit_margin_5y,current_fcf_margin,normalized_fcf_margin_5y,ebit_3y_margin,ebit_5y_margin,fcf_3y_margin,fcf_5y_margin,negative_fcf_years,fcf_margin_stdev,fcf_margin_range,fcf_sign_changes,fcf_unreliable,old_implied_revenue_growth,new_implied_revenue_growth,old_implied_ebit_margin,new_implied_ebit_margin,new_outside_bounds_count
Avtech,AVT B,12,11,1,68.5,65.3,58.3,4.4,available,micro,0.138,0.29359430604982206,0.24734982332155475,0.22419928825622773,0.19434628975265017,0.29254901960784313,0.24734982332155475,0.23921568627450981,0.19434628975265017,1,0.14173114230355344,0.3766096046053628,1,True,0.13584461212158205,0.2905670166015625,0.278253436088562,0.4085979461669922,1
Lime Technologies,LIME,14,12,2,67.2,64.8,40.4,1.0,available,small,0.133,0.20365414900836076,0.19311039248906314,0.16959655839084287,0.08200653632955197,0.19606850083664767,0.19311039248906314,0.1229996176743678,0.08200653632955197,1,0.16930346625305248,0.4392379625558186,1,True,0.16743537634611128,outside_bounds,0.21896368078887463,0.42223019897937775,2
Plejd,PLEJD,16,13,3,64.6,64.6,1.1,0.4,available,lower_mid,0.128,0.2325923814952028,0.1666826307156284,0.10697887970615243,0.008476909998682964,0.1716077929545924,0.1666826307156284,0.03443737572942525,0.008476909998682964,3,0.06657584011060186,0.1621875830103489,1,True,outside_bounds,outside_bounds,outside_bounds,outside_bounds,3
Vuxen Group,VUXEN,11,14,-3,69.2,64.6,80.0,2.5,available,micro,0.138,0.06451612903225806,0.04275348107472054,0.08629032258064516,0.03000588350656992,0.045312267103890295,0.04275348107472054,0.06826650767625578,0.03000588350656992,2,0.05679319456138791,0.14375399497166233,1,True,0.015686607360839835,outside_bounds,0.03923143818974495,0.13031645119190216,2
Byggpartner,BYGGP,8,15,-7,70.1,64.2,99.7,1.2,available,small,0.133,0.036003750857560496,0.002904504580088627,0.07411218787383604,0.0021060399203728136,0.005136283490827483,0.002904504580088627,0.012662624667322016,0.0021060399203728136,2,0.03804539180291589,0.10553256090159824,2,True,outside_bounds,outside_bounds,outside_bounds,0.036503151059150696,2
Invisio,IVSO,17,16,1,63.0,63.0,1.0,0.7,available,lower_mid,0.128,0.17669133743354531,0.16975027638681148,0.06431773167934954,0.051716849840671125,0.19948560316165861,0.16975027638681148,0.08590008991489449,0.051716849840671125,1,0.10407134362205563,0.2910237932656664,1,True,outside_bounds,outside_bounds,0.4068633746355772,outside_bounds,3
Karnov,KAR,13,17,-4,68.3,62.3,99.6,0.3,available,lower_mid,0.128,0.43377623724244174,0.1670503527403227,0.4605815520893511,-0.054107468527604265,0.1848940089774526,0.1670503527403227,0.13105523987441947,-0.054107468527604265,3,0.5905737695470811,1.761546441820539,3,True,-0.05412383675575256,outside_bounds,0.14900881797075272,0.48255985975265503,2
RaySearch Laboratories,RAY B,18,18,0,62.1,62.1,2.9,2.6,available,lower_mid,0.128,0.21879389348131434,0.13024856839199886,0.08867346703815424,0.15464538950841517,0.1876273363139984,0.13024856839199886,0.18917855607294107,0.15464538950841517,0,0.08232141865503158,0.22531345920918935,0,False,outside_bounds,outside_bounds,0.3782804384827614,0.31133026629686356,2
Navigo Invest,NAVIGO STAM,15,19,-4,66.7,60.9,97.6,0.1,available,micro,0.138,0.13644904369285996,0.03428346464029967,0.0464411913175164,-0.11313752987602325,-0.06035372571759931,0.03428346464029967,-0.021907799362133953,-0.11313752987602325,3,0.19402239593040094,0.5537689421879285,3,True,-0.01809053421020508,outside_bounds,0.10706813633441925,0.2221045196056366,2
Nelly Group,NELLY,21,20,1,61.4,59.5,35.0,2.2,available,small,0.133,0.10564399421128799,0.02858723418102536,0.06375623090529024,0.029172971477847736,0.0790943926053763,0.02858723418102536,0.07590604615789628,0.029172971477847736,2,0.061454484662021074,0.17922298322815888,1,True,0.0190475583076477,outside_bounds,0.11599791795015335,0.11941702663898468,2
Synsam,SYNSAM,19,21,-2,62.1,59.5,94.3,49.8,available,lower_mid,0.128,0.12044046799724707,0.11959441310770884,0.14108740536820372,0.11298012355627182,0.12061703963058812,0.11959441310770884,0.11990663216116101,0.11298012355627182,0,0.03683579069229344,0.09039962401056034,0,False,-0.023760342597961434,0.10443140268325804,0.0463948342949152,0.1197616457939148,0
Veteranpoolen,VPAB B,23,22,1,61.2,59.2,38.2,5.2,available,small,0.133,0.11130886169818316,0.10478530800970688,0.0910344827586207,0.08758392087515024,0.10267967505849752,0.10478530800970688,0.08758817746451343,0.08758392087515024,0,0.010719901155105694,0.033176262436020246,0,False,0.12982584834098815,0.24003623723983758,0.12178174778819084,0.17461466044187546,1
Apotea,APOTEA,26,23,3,58.9,58.9,2.9,1.6,available,lower_mid,0.128,0.04187379994213419,0.029872209466711593,0.019963702359346643,0.010139183655038504,0.035174966387557946,0.029872209466711593,0.013263287945721746,0.010139183655038504,1,0.018028361704697144,0.05408762371269213,2,True,outside_bounds,outside_bounds,0.08131302893161774,0.10609005950391293,2
Cedergrenska,CEDER,20,24,-4,61.8,58.8,,14.3,unavailable,micro,0.138,0.042763476631891735,0.023503417299982118,-0.004069635993669455,0.022951034924602074,0.021790396195043752,0.023503417299982118,0.04401467928802803,0.022951034924602074,2,0.03510392670035665,0.098661381816424,1,True,unavailable,0.23132401704788208,unavailable,0.03352533280849457,1
BioGaia,BIOG B,28,25,3,58.0,58.0,2.3,1.4,available,lower_mid,0.128,0.27851729068340275,0.3081671268223875,0.1894952613531399,0.23315984622067623,0.3004040024428055,0.3081671268223875,0.24366984544557715,0.23315984622067623,0,0.06122405481420417,0.16837365142638028,0,False,0.2865987151861191,outside_bounds,0.49460774660110474,outside_bounds,3
Bonesupport,BONEX,30,26,4,57.6,57.5,1.6,0.5,available,lower_mid,0.128,0.24009670097322844,0.08313631798588975,0.2030409502192096,0.03506665252730663,0.15453730010095815,0.08313631798588975,0.09402995717722473,0.03506665252730663,3,0.2022365910390656,0.5901720816352714,1,True,outside_bounds,outside_bounds,outside_bounds,outside_bounds,3
Scandic Hotels,SHOT,33,27,6,56.7,56.5,98.7,95.8,available,lower_mid,0.128,0.12202880622072987,0.10776845321557876,0.24105328267208626,0.26710336312077515,0.1251000709937616,0.10776845321557876,0.24985272570729422,0.26710336312077515,0,0.03038763268674045,0.07535304977151752,0,False,outside_bounds,-0.09199659526348115,0.0066719576716423035,0.03168492577970028,1
Softronic,SOF B,25,28,-3,60.1,55.9,87.5,18.3,available,small,0.133,0.09516063440422935,0.11231762736187516,0.1442659617730785,0.09330303755082517,0.11087567900758949,0.11231762736187516,0.08044072889779251,0.09330303755082517,0,0.03604348415149361,0.09273019517795639,0,False,-0.04199128150939942,0.11477158069610596,0.04510276019573212,0.14819611608982086,1
Cloetta,CLA B,32,29,3,57.1,55.0,37.9,3.1,available,lower_mid,0.128,0.13407691413965378,0.09597434426656933,0.11211804345300337,0.08006987537153883,0.10417076142930147,0.09597434426656933,0.0824717952749715,0.08006987537153883,0,0.02606967002517037,0.06577290416796311,0,False,0.09707676172256469,0.2727867364883423,0.14763813465833664,0.20656460523605347,1
CellaVision,CEVI,35,30,5,54.8,54.8,0.7,0.3,available,small,0.133,0.2223364675640939,0.2579383361520879,0.13300412636136102,0.14574794092207458,0.2532091058958638,0.2579383361520879,0.16101098412580808,0.14574794092207458,0,0.023201862610076833,0.0640667074289654,0,False,0.28564338386058813,outside_bounds,0.4578012153506279,outside_bounds,3
TagMaster,TAGM B,24,31,-7,60.5,54.7,98.0,1.3,available,micro,0.138,0.10881751227495907,0.02925537211479099,0.16804418985270048,0.007204309640929641,0.04266800051535063,0.02925537211479099,0.022576904713184638,0.007204309640929641,4,0.05847712070007107,0.17005922418303518,1,True,-0.07185311317443849,outside_bounds,0.01796097680926323,0.1423250064253807,2
Cheffelo,CHEF,27,32,-5,58.4,54.2,72.5,2.2,available,small,0.133,0.0718878893183073,0.007564322888525583,0.1183625085252184,0.03190784772355711,0.04479170826562303,0.007564322888525583,0.07903443318414027,0.03190784772355711,2,0.057779679164574146,0.15396172196157829,1,True,-0.012747561931610116,outside_bounds,0.04866296052932739,0.12570597603917122,2
Boozt,BOOZT,29,33,-4,57.9,53.9,66.7,1.5,available,lower_mid,0.128,0.05050626808100289,0.04539779389412429,0.09040501446480231,0.016665219090632736,0.04755826402042329,0.04539779389412429,0.036605451700568226,0.016665219090632736,1,0.05385438992342661,0.16790323824462083,1,True,0.03955554962158203,outside_bounds,0.036541249603033066,0.1603083861991763,2
Revolutionrace,RVRC,31,34,-3,57.5,52.9,80.1,4.6,available,lower_mid,0.128,0.20885131775236201,0.21616735875502693,0.24067628045748385,0.13364073409397556,0.19759804841433665,0.21616735875502693,0.13829986864327265,0.13364073409397556,0,0.0678218935188711,0.19854958317991578,0,False,0.050547260046005245,0.2580738067626953,0.14674507081508636,0.3350871652364731,1
Upsales,UPSALE,36,35,1,54.3,52.9,28.4,5.5,available,micro,0.138,0.16699366556421325,0.17912369310866827,0.14518751051067885,0.15768996788478132,0.18046270324988928,0.17912369310866827,0.12596748001771518,0.15768996788478132,0,0.07436199821238516,0.2188673556796144,0,False,0.10896306037902831,0.19666630029678345,0.2013433873653412,0.3048802614212036,1
NYAB,NYAB,34,36,-2,55.3,52.6,98.5,52.4,available,small,0.133,0.05760590040035054,0.055723543163658434,0.07177604684658519,0.04797806883061637,0.06056886429170518,0.055723543163658434,0.04848616102312312,0.04797806883061637,0,0.02147144372262267,0.05729963013269604,0,False,-0.040134334564209,0.1456714630126953,0.008026361465454102,0.05474488437175751,0
Dynavox Group,DYVOX,38,37,1,52.4,52.3,1.7,0.3,available,lower_mid,0.128,0.12947658402203857,0.09582780480613297,0.033844942935852024,-0.058086392451717525,0.10541969596827495,0.09582780480613297,-0.02280237937871778,-0.058086392451717525,4,0.0974459395006879,0.2687494123790897,2,True,outside_bounds,outside_bounds,0.2869481220841408,0.4455158859491348,2
AcadeMedia,ACAD,39,38,1,52.3,51.5,96.7,83.5,available,lower_mid,0.128,0.0937894152666364,0.08677784620024884,0.14449321426769587,0.16139045632202687,0.08694981885454406,0.08677784620024884,0.15632467432359515,0.16139045632202687,0,0.010684645073231969,0.03056050442353253,0,False,-0.0551272064447403,0.024940060079097742,0.0185758201405406,0.04873636830598116,1
BioArctic,BIOA B,43,39,4,50.7,50.7,1.2,0.7,available,upper_mid,0.123,0.34378296384764934,0.3593193939529346,0.5603657951860795,0.009147518903063735,0.4460010985419984,0.3593193939529346,0.0757611575017208,0.009147518903063735,4,2.115777746911058,5.696205015428194,1,True,outside_bounds,outside_bounds,outside_bounds,outside_bounds,3
MedCap,MCAP,41,40,1,51.9,50.6,,0.7,unavailable,lower_mid,0.128,0.14898663216903837,0.1430911643871236,-0.0414402759810263,0.04410005720526288,0.1430735776415229,0.1430911643871236,0.04603949807500357,0.04410005720526288,1,0.04768758873489597,0.14718429655224424,1,True,unavailable,outside_bounds,unavailable,0.3797158868983388,2
Berner Industrier,BERNER B,45,41,4,50.4,50.4,1.6,2.1,available,small,0.133,0.09533164935915427,0.06512690715343221,0.021891664327813636,0.05269550261970407,0.07679398881464713,0.06512690715343221,0.07956121634719117,0.05269550261970407,1,0.04209604005082474,0.11612864801158636,1,True,outside_bounds,outside_bounds,0.20590112917125225,0.19538647681474686,2
Engcon,ENGCON B,47,42,5,50.3,50.3,0.1,0.0,available,lower_mid,0.128,0.1603128054740958,0.19544120965921913,0.11730205278592376,0.11475964793500339,0.18248712288447388,0.19544120965921913,0.12472406181015452,0.11475964793500339,0,0.06277019717842154,0.19321583946992768,0,False,outside_bounds,outside_bounds,outside_bounds,outside_bounds,3
C-RAD,CRAD B,51,43,8,50.0,50.1,1.7,2.6,available,small,0.133,0.14918991899189918,0.121390937829294,0.008775877587758775,0.05316122233930453,0.12923998502433545,0.121390937829294,0.06746536877573941,0.05316122233930453,1,0.038021575748515654,0.11880508443197078,2,True,outside_bounds,outside_bounds,0.2882959544658661,0.2710667997598648,2
AQ Group,AQ,53,44,9,49.2,49.1,4.0,2.4,available,lower_mid,0.128,0.09328986116954144,0.08548787521629009,0.05900294488851494,0.05130777139704592,0.09145055676815508,0.08548787521629009,0.08412563353187082,0.05130777139704592,2,0.052562454328890076,0.13444133443602854,1,True,0.26425970792770387,outside_bounds,0.16835962608456612,0.22498095035552979,2
SmartCraft,SMCRT,40,45,-5,52.1,49.1,50.6,1.2,available,small,0.133,0.18124347204661645,0.25695513552706073,0.20160152456342878,0.09175514744589347,0.25430667499148596,0.25695513552706073,0.09450561925303666,0.09175514744589347,2,0.10107486072403198,0.23080634777226236,3,True,0.14891319274902345,outside_bounds,0.18020659685134888,0.4933062791824341,2
Qualisys,QSYS,54,46,8,48.9,49.0,12.1,14.0,available,micro,0.138,0.16035121951219514,0.19050255429448626,0.08554146341463416,0.13328887434884365,0.19050255429448626,,0.13328887434884365,,0,0.052329582012803445,0.14446252887009986,0,False,0.138604199886322,0.13091694116592406,0.20816779136657715,0.2536250725388527,1
Sustainion,SUSG,44,47,-3,50.5,49.0,,0.8,unavailable,micro,0.138,0.0725716730851519,0.060521243167595246,-0.004741121095421481,-0.004128048726818233,0.05690888019068028,0.060521243167595246,0.015645841989022764,-0.004128048726818233,1,0.12386445830814952,0.38236949016101424,2,True,unavailable,outside_bounds,unavailable,0.14041107892990112,2
Scandinavian Astor,ASTOR,48,48,0,50.3,48.7,,0.3,unavailable,small,0.133,0.11864777746826377,0.02530667554203119,-0.37647737673604204,-0.5649367630277672,0.06147128420337033,0.02530667554203119,-0.5593076309631198,-0.5649367630277672,5,0.29503162558868223,0.7671969695312109,0,True,unavailable,outside_bounds,unavailable,0.39451006054878235,2
Xvivo Perfusion,XVIVO,49,49,0,50.3,48.6,,0.4,unavailable,lower_mid,0.128,0.12472772360175596,0.05810083935288267,-0.014532578220122203,-0.2666106868652803,0.08105262686313072,0.05810083935288267,-0.1815261655907138,-0.2666106868652803,5,0.2311373807414598,0.6119607203523552,0,True,unavailable,outside_bounds,unavailable,outside_bounds,3
Rusta,RUSTA,46,50,-4,50.4,48.2,53.9,17.0,available,lower_mid,0.128,0.07565293323807255,0.07044676028185946,0.09391124871001032,0.09410101171034813,0.07200135055288259,0.07044676028185946,0.08809543907036943,0.09410101171034813,0,0.023703551757344236,0.06912524973611242,0,False,0.06566358804702757,0.1448557764291763,0.07220550812780857,0.10862769931554794,1
OEM International,OEM B,58,51,7,48.1,48.1,0.1,0.1,available,upper_mid,0.123,0.15024805102763997,0.1493147291941876,0.028171509567682496,0.09218130779392338,0.1466301788328136,0.1493147291941876,0.11824603831222555,0.09218130779392338,0,0.03834075944008307,0.10154026779284953,0,False,outside_bounds,outside_bounds,outside_bounds,outside_bounds,3
Bahnhof,BAHN B,59,52,7,47.6,47.7,3.4,4.4,available,lower_mid,0.128,0.10943514496592152,0.12479724732493437,0.06480647667478899,0.11928576038733828,0.1259665996785223,0.12479724732493437,0.11522996446739518,0.11928576038733828,0,0.0515097594151848,0.14197887843502816,0,False,outside_bounds,0.24026524424552914,0.2241514027118683,0.2425101399421692,1
